row Id,file Id,Record_Type,State,Buy_Sell,Quantity,Instrument_Code,ISIN_Code,Sedol_Code,Exchange_Id,Gross_Price,Net_Net_Price,Gross_Consideration,Net_Net_Consideration,Settlement_Consideration,Counterparty,Trade_Date,Trade_Time,Trade_Id,Version_Number,Settlement_Date,Dealt_Ccy,Settlement_Ccy,Dealt_To_Settlement_Rate,Dealing_Capacity,Order_Id,Entered_By,Exchange_Trade_Code,Book_Id,Trader,Accrued_Days,Accrued_Interest,Trade_Flags,Sub_Account,Commission,Market_Charges,Brokerage,Stamp_Duty,PTM_Levy,Oasys_Ref,Notes,Bo_Counterparty,BO_Sub_Account,BO_Book_Id,Book_Settlement_Model,Cpty_Book_Id,BO_Cpty_Book_Id,Entered_By_User_Group,BO_Entered_By_User_Group,BO_Counterparty_CREF,BO_Counterparty_CRF2,Instrument_Id,Counterparty_Id,Account_Id,Entered_Date,Entered_Time,Business_Transaction,Commission_Type,Commission_Value,Trading_Entity_ID,Instrument_Description,Epic_Code,Counterparty_Description,Counterparty_Type,Country_Of_Domicile,Amended_Date,Amended_Time,Sales_Credit,Markup,Facilitation,Dealt_Price,Group_Id,Net_Price,Net_Consideration,Business_Transaction_Description,BO_Order_Counterparty,Order_Counterparty,BO_Order_Counterparty_CREF,BO_Order_Counterparty_CREF2,Charge_Name_1,Charge_Amount_1,Charge_Inclusive_1,Charge_Currency_1,Charge_Currency_Amount_1,Charge_Name_2,Charge_Amount_2,Charge_Inclusive_2,Charge_Currency_2,Charge_Currency_Amount_2,Charge_Name_3,Charge_Amount_3,Charge_Inclusive_3,Charge_Currency_3,Charge_Currency_Amount_3,Charge_Name_4,Charge_Amount_4,Charge_Inclusive_4,Charge_Currency_4,Charge_Currency_Amount_4,Charge_Name_5,Charge_Amount_5,Charge_Inclusive_5,Charge_Currency_5,Charge_Currency_Amount_5,Charge_Name_6,Charge_Amount_6,Charge_Inclusive_6,Charge_Currency_6,Charge_Currency_Amount_6,Charge_Name_7,Charge_Amount_7,Charge_Inclusive_7,Charge_Currency_7,Charge_Currency_Amount_7,Charge_Name_8,Charge_Amount_8,Charge_Inclusive_8,Charge_Currency_8,Charge_Currency_Amount_8,Charge_Name_9,Charge_Amount_9,Charge_Inclusive_9,Charge_Currency_9,Charge_Currency_Amount_9,Instrument_To_Dealt_Rate,Trade_Date Time,Counterparty_BIC_Code,BO_User,BO_State,Charge_Name_10,Charge_Amount_10,Charge_Inclusive_10,Charge_Currency_10,Charge_Currency_Amount_10,Charge_Name_11,Charge_Amount_11,Charge_Inclusive_11,Charge_Currency_11,Charge_Currency_Amount_11,Charge_Name_12,Charge_Amount_12,Charge_Inclusive_12,Charge_Currency_12,Charge_Currency_Amount_12,Charge_Name_13,Charge_Amount_13,Charge_Inclusive_13,Charge_Currency_13,Charge_Currency_Amount_13,Charge_Name_14,Charge_Amount_14,Charge_Inclusive_14,Charge_Currency_14,Charge_Currency_Amount_14,Charge_Name_15,Charge_Amount_15,Charge_Inclusive_15,Charge_Currency_15,Charge_Currency_Amount_15,Dealt_Price_Type,BO_Sub_Account_CREF,BO_Sub_Account_CRF2,Trader_Ref,Execution_Venue,Order_Price_Type,Link_Reference,BO_Clearing_Service_Id,Representative_Id,Investor_Id,Exchange_Account_Id,Official_Place_Of_Listing,Listing_Exchange_Id,Reporting_Exchange_Id,Basket_Id,Entered_Dealt_To_Settlement_Rate,Entered_Dealt_To_Settlement_Sense,Entered_Instrument_To_Dealt_Rate,Entered_Instrument_To_Dealt_Sense,Order_Entry_Type,Payment_Method_Id,BO_Instrument_Code_1,Riskless_Flag,Counterparty_Contact,BO_Instrument_Code_2,Original_Counterparty,BO_Original_Counterparty,BO_Original_Counterparty_CREF,BO_Original_Counterparty_CREF2,table Report File
1760290,8129,M,I,B,3550,SIE.DE,DE0007236101,5727973,GER,111.4211,111.4289,395545,395572.7,395572.7,MSDMA,20170804,16:45:03,00028316677TRLO0-1,1,20170808,EUR,EUR,1,A,,TMAR,,NETTNG,TMAR,0,0,XX IN,,0,0,27.69,0,0,,,,,NETTNG,,,,,,,,1273LO,26881CL,,20170804,16:45:03,DT,FIXED_AMOUNT,0,EXIE,SIEMENS AG NA,SIE,Morgan Stanley - DMA ORDERS,M,,20170804,16:45:03,0,0,0,111.4211,,111.4289,395572.7,Broker trade,,,,,BROKERAGE,27.69000053,Y,EUR,27.69,COMMISSION,0,Y,EUR,0,MARKETCHARGE,0,Y,EUR,0,MARKUP,0,Y,EUR,0,SALESCREDIT,0,Y,EUR,0,commission,0,Y,EUR,0,,0, ,,0,,0, ,,0,,0, ,,0,1,20170804 16:45:03.639842 +0100s,,,I,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,G,,,,XOFF,,,UNIVERSAL,,,,XFRA,GER,GER,,1,M,1,M, ,A,,N,,,,,,,System.Data.Entity.DynamicProxies.tableReportFile_97655A83ACD20E16DD50672A50CB6EB40BC83AD923EB70B8B105F99C5504B07D
1760291,8129,M,I,S,3550,SIE.DE,DE0007236101,5727973,GER,111.4211,111.4289,395545,395572.7,395572.7,MSDMA,20170804,16:45:03,00028316678TRLO0-1,1,20170808,EUR,EUR,1,A,,TMAR,,NETTNG,TMAR,0,0,XX XN NE,,0,0,-27.69,0,0,,,,,NETTNG,,,,,,,,1273LO,26881CL,,20170804,16:45:03,DT,FIXED_AMOUNT,0,EXIE,SIEMENS AG NA,SIE,Morgan Stanley - DMA ORDERS,M,,20170804,16:45:03,0,0,0,111.4211,,111.4289,395572.7,Broker trade,,,,,BROKERAGE,-27.69000053,Y,EUR,-27.69,COMMISSION,0,Y,EUR,0,MARKETCHARGE,0,Y,EUR,0,MARKUP,0,Y,EUR,0,SALESCREDIT,0,Y,EUR,0,commission,0,Y,EUR,0,,0, ,,0,,0, ,,0,,0, ,,0,1,20170804 16:45:03.644257 +0100s,,,I,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,G,,,,XOFF,,,UNIVERSAL,,,,XFRA,GER,GER,,1,M,1,M, ,A,,N,,,,,,,System.Data.Entity.DynamicProxies.tableReportFile_97655A83ACD20E16DD50672A50CB6EB40BC83AD923EB70B8B105F99C5504B07D
1760287,8129,B,I,S,3550,SIE.DE,DE0007236101,5727973,GER,111.4211,111.4434,395545,395624.1,395624.1,ESIBL,20170804,14:50:55,00028316674TRLO0-1,1,20170808,EUR,EUR,1,A,00001695355ORLO0,ben.clarke,,DMA,ben.clarke,0,0,AP,,79.11,0,0,0,0,,,,,DMA,,,,EXIE_SUPPORT,,,,1273LO,27937CL,,20170804,16:39:43,OB,BASIS_POINT,2,EXIE,SIEMENS AG NA,SIE,"Haitong, Lisbon",C,PT,20170804,16:39:43,0,0,0,111.4211,00000041006GPLO0,111.4434,395624.1,Booking,,ESIBL,,,BROKERAGE,0,Y,EUR,0,COMMISSION,79.11000061,Y,EUR,79.11000061,MARKETCHARGE,0,Y,EUR,0,MARKUP,0,Y,EUR,0,SALESCREDIT,0,Y,EUR,0,commission,0,Y,EUR,0,,0, ,,0,,0, ,,0,,0, ,,0,1,20170804 14:50:55.423000 +0100s,,BC,I,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,G,,,,XETR,LIM,,UNIVERSAL,,,,XFRA,GER,GER,,1,M,1,M,E,A,,N,,,,,,,System.Data.Entity.DynamicProxies.tableReportFile_97655A83ACD20E16DD50672A50CB6EB40BC83AD923EB70B8B105F99C5504B07D
1760260,8129,M,I,B,52,SIE.DE,DE0007236101,5727973,GER,111.45,111.4579,5795.4,5795.81,5795.81,MSDMA,20170804,14:49:36,00028316645TRLO0-1,1,20170808,EUR,EUR,1,A,00001695355ORLO0,EMMA,v_JuoGVHQpqJdapR6ZgKlgA,DMA,DMA,0,0,AT AE  ,,0,0,0.41,0,0,,,,,DMA,,,,,,,,1273LO,26881CL,,20170804,14:49:36,BE,FIXED_AMOUNT,0,EXIE,SIEMENS AG NA,SIE,Morgan Stanley - DMA ORDERS,M,,20170804,14:49:36,0,0,0,111.45,,111.4579,5795.81,Broker fill,,ESIBL,,,BROKERAGE,0.409999996,Y,EUR,0.41,COMMISSION,0,Y,EUR,0,MARKETCHARGE,0,Y,EUR,0,MARKUP,0,Y,EUR,0,SALESCREDIT,0,Y,EUR,0,commission,0,Y,EUR,0,,0, ,,0,,0, ,,0,,0, ,,0,1,20170804 14:49:36.316000 +0100s,,DMA,I,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,G,,,,XETR,LIM,,UNIVERSAL,,,,XFRA,GER,GER,,1,M,1,M,E,A,,N,,,,,,,System.Data.Entity.DynamicProxies.tableReportFile_97655A83ACD20E16DD50672A50CB6EB40BC83AD923EB70B8B105F99C5504B07D
1760261,8129,M,I,B,349,SIE.DE,DE0007236101,5727973,GER,111.45,111.4578,38896.05,38898.77,38898.77,MSDMA,20170804,14:49:36,00028316646TRLO0-1,1,20170808,EUR,EUR,1,A,00001695355ORLO0,EMMA,ExyijjpjT_OG_TDzujhjLwA,DMA,DMA,0,0,AT AE  ,,0,0,2.72,0,0,,,,,DMA,,,,,,,,1273LO,26881CL,,20170804,14:49:36,BE,FIXED_AMOUNT,0,EXIE,SIEMENS AG NA,SIE,Morgan Stanley - DMA ORDERS,M,,20170804,14:49:36,0,0,0,111.45,,111.4578,38898.77,Broker fill,,ESIBL,,,BROKERAGE,2.720000029,Y,EUR,2.72,COMMISSION,0,Y,EUR,0,MARKETCHARGE,0,Y,EUR,0,MARKUP,0,Y,EUR,0,SALESCREDIT,0,Y,EUR,0,commission,0,Y,EUR,0,,0, ,,0,,0, ,,0,,0, ,,0,1,20170804 14:49:36.316000 +0100s,,DMA,I,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,G,,,,XETR,LIM,,UNIVERSAL,,,,XFRA,GER,GER,,1,M,1,M,E,A,,N,,,,,,,System.Data.Entity.DynamicProxies.tableReportFile_97655A83ACD20E16DD50672A50CB6EB40BC83AD923EB70B8B105F99C5504B07D
1760262,8129,M,I,B,99,SIE.DE,DE0007236101,5727973,GER,111.45,111.4578,11033.55,11034.32,11034.32,MSDMA,20170804,14:49:36,00028316647TRLO0-1,1,20170808,EUR,EUR,1,A,00001695355ORLO0,EMMA,BsxO8gGCStKcbRHUsTizxwA,DMA,DMA,0,0,AT AE  ,,0,0,0.77,0,0,,,,,DMA,,,,,,,,1273LO,26881CL,,20170804,14:49:36,BE,FIXED_AMOUNT,0,EXIE,SIEMENS AG NA,SIE,Morgan Stanley - DMA ORDERS,M,,20170804,14:49:36,0,0,0,111.45,,111.4578,11034.32,Broker fill,,ESIBL,,,BROKERAGE,0.769999981,Y,EUR,0.77,COMMISSION,0,Y,EUR,0,MARKETCHARGE,0,Y,EUR,0,MARKUP,0,Y,EUR,0,SALESCREDIT,0,Y,EUR,0,commission,0,Y,EUR,0,,0, ,,0,,0, ,,0,,0, ,,0,1,20170804 14:49:36.316000 +0100s,,DMA,I,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,G,,,,XETR,LIM,,UNIVERSAL,,,,XFRA,GER,GER,,1,M,1,M,E,A,,N,,,,,,,System.Data.Entity.DynamicProxies.tableReportFile_97655A83ACD20E16DD50672A50CB6EB40BC83AD923EB70B8B105F99C5504B07D
1760263,8129,M,I,B,44,SIE.DE,DE0007236101,5727973,GER,111.45,111.4577,4903.8,4904.14,4904.14,MSDMA,20170804,14:50:17,00028316648TRLO0-1,1,20170808,EUR,EUR,1,A,00001695356ORLO0,EMMA,0GOrx2x2Q6afMhVp0lxIXwA,DMA,DMA,0,0,AT AE  ,,0,0,0.34,0,0,,,,,DMA,,,,,,,,1273LO,26881CL,,20170804,14:50:17,BE,FIXED_AMOUNT,0,EXIE,SIEMENS AG NA,SIE,Morgan Stanley - DMA ORDERS,M,,20170804,14:50:17,0,0,0,111.45,,111.4577,4904.14,Broker fill,,ESIBL,,,BROKERAGE,0.340000004,Y,EUR,0.34,COMMISSION,0,Y,EUR,0,MARKETCHARGE,0,Y,EUR,0,MARKUP,0,Y,EUR,0,SALESCREDIT,0,Y,EUR,0,commission,0,Y,EUR,0,,0, ,,0,,0, ,,0,,0, ,,0,1,20170804 14:50:17.434000 +0100s,,DMA,I,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,G,,,,XETR,LIM,,UNIVERSAL,,,,XFRA,GER,GER,,1,M,1,M,E,A,,N,,,,,,,System.Data.Entity.DynamicProxies.tableReportFile_97655A83ACD20E16DD50672A50CB6EB40BC83AD923EB70B8B105F99C5504B07D
1760264,8129,M,I,B,429,SIE.DE,DE0007236101,5727973,GER,111.45,111.4578,47812.05,47815.4,47815.4,MSDMA,20170804,14:50:17,00028316649TRLO0-1,1,20170808,EUR,EUR,1,A,00001695356ORLO0,EMMA,dx-2y_AhQZy6K5Plv_1URQA,DMA,DMA,0,0,AT AE  ,,0,0,3.35,0,0,,,,,DMA,,,,,,,,1273LO,26881CL,,20170804,14:50:17,BE,FIXED_AMOUNT,0,EXIE,SIEMENS AG NA,SIE,Morgan Stanley - DMA ORDERS,M,,20170804,14:50:17,0,0,0,111.45,,111.4578,47815.4,Broker fill,,ESIBL,,,BROKERAGE,3.349999905,Y,EUR,3.35,COMMISSION,0,Y,EUR,0,MARKETCHARGE,0,Y,EUR,0,MARKUP,0,Y,EUR,0,SALESCREDIT,0,Y,EUR,0,commission,0,Y,EUR,0,,0, ,,0,,0, ,,0,,0, ,,0,1,20170804 14:50:17.434000 +0100s,,DMA,I,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,G,,,,XETR,LIM,,UNIVERSAL,,,,XFRA,GER,GER,,1,M,1,M,E,A,,N,,,,,,,System.Data.Entity.DynamicProxies.tableReportFile_97655A83ACD20E16DD50672A50CB6EB40BC83AD923EB70B8B105F99C5504B07D
1760265,8129,M,I,B,168,SIE.DE,DE0007236101,5727973,GER,111.45,111.4578,18723.6,18724.91,18724.91,MSDMA,20170804,14:50:17,00028316650TRLO0-1,1,20170808,EUR,EUR,1,A,00001695356ORLO0,EMMA,eYEsCmBDRW-o-LZuRbXArQA,DMA,DMA,0,0,AT AE  ,,0,0,1.31,0,0,,,,,DMA,,,,,,,,1273LO,26881CL,,20170804,14:50:17,BE,FIXED_AMOUNT,0,EXIE,SIEMENS AG NA,SIE,Morgan Stanley - DMA ORDERS,M,,20170804,14:50:17,0,0,0,111.45,,111.4578,18724.91,Broker fill,,ESIBL,,,BROKERAGE,1.309999943,Y,EUR,1.31,COMMISSION,0,Y,EUR,0,MARKETCHARGE,0,Y,EUR,0,MARKUP,0,Y,EUR,0,SALESCREDIT,0,Y,EUR,0,commission,0,Y,EUR,0,,0, ,,0,,0, ,,0,,0, ,,0,1,20170804 14:50:17.434000 +0100s,,DMA,I,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,G,,,,XETR,LIM,,UNIVERSAL,,,,XFRA,GER,GER,,1,M,1,M,E,A,,N,,,,,,,System.Data.Entity.DynamicProxies.tableReportFile_97655A83ACD20E16DD50672A50CB6EB40BC83AD923EB70B8B105F99C5504B07D
1760266,8129,M,I,B,100,SIE.DE,DE0007236101,5727973,GER,111.45,111.4578,11145,11145.78,11145.78,MSDMA,20170804,14:50:17,00028316651TRLO0-1,1,20170808,EUR,EUR,1,A,00001695356ORLO0,EMMA,V0arcRlBQamdL6YtH7L8HwA,DMA,DMA,0,0,AT AE  ,,0,0,0.78,0,0,,,,,DMA,,,,,,,,1273LO,26881CL,,20170804,14:50:17,BE,FIXED_AMOUNT,0,EXIE,SIEMENS AG NA,SIE,Morgan Stanley - DMA ORDERS,M,,20170804,14:50:17,0,0,0,111.45,,111.4578,11145.78,Broker fill,,ESIBL,,,BROKERAGE,0.779999971,Y,EUR,0.78,COMMISSION,0,Y,EUR,0,MARKETCHARGE,0,Y,EUR,0,MARKUP,0,Y,EUR,0,SALESCREDIT,0,Y,EUR,0,commission,0,Y,EUR,0,,0, ,,0,,0, ,,0,,0, ,,0,1,20170804 14:50:17.434000 +0100s,,DMA,I,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,,0, ,,0,G,,,,XETR,LIM,,UNIVERSAL,,,,XFRA,GER,GER,,1,M,1,M,E,A,,N,,,,,,,System.Data.Entity.DynamicProxies.tableReportFile_97655A83ACD20E16DD50672A50CB6EB40BC83AD923EB70B8B105F99C5504B07D
